id,y
0,1
1,0
2,3
3,1
4,1
5,3
6,3
7,1
8,3
9,1
10,1
11,2
12,2
13,1
14,0
15,0
16,3
17,2
18,3
19,1
20,0
21,0
22,3
23,1
24,2
25,3
26,1
27,3
28,1
29,3
30,2
31,1
32,1
33,2
34,2
35,1
36,1
37,2
38,3
39,1
40,2
41,3
42,0
43,1
44,3
45,0
46,1
47,2
48,3
49,2
50,1
51,0
52,2
53,0
54,1
55,1
56,0
57,3
58,2
59,0
60,1
61,2
62,0
63,2
64,1
65,0
66,3
67,3
68,3
69,1
70,2
71,0
72,1
73,2
74,1
75,0
76,2
77,1
78,3
79,3
80,1
81,0
82,3
83,0
84,1
85,0
86,0
87,3
88,3
89,2
90,1
91,1
92,0
93,1
94,3
95,0
96,1
97,3
98,0
99,3
100,0
101,2
102,2
103,1
104,2
105,2
106,0
107,1
108,0
109,0
110,3
111,0
112,0
113,0
114,0
115,1
116,2
117,2
118,0
119,0
120,1
121,1
122,2
123,1
124,0
125,1
126,2
127,2
128,2
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,2
137,0
138,1
139,0
140,0
141,0
142,3
143,0
144,3
145,1
146,0
147,2
148,3
149,2
150,1
151,1
152,2
153,1
154,0
155,2
156,3
157,2
158,3
159,2
160,1
161,3
162,3
163,3
164,0
165,0
166,0
167,2
168,1
169,2
170,2
171,0
172,2
173,3
174,2
175,2
176,1
177,1
178,3
179,3
180,1
181,3
182,3
183,3
184,2
185,1
186,2
187,1
188,0
189,3
190,2
191,1
192,1
193,1
194,3
195,0
196,0
197,1
198,1
199,3
200,2
201,3
202,1
203,0
204,3
205,1
206,1
207,1
208,2
209,1
210,0
211,1
212,3
213,1
214,0
215,1
216,0
217,0
218,2
219,2
220,2
221,1
222,2
223,0
224,0
225,0
226,0
227,0
228,0
229,2
230,1
231,2
232,3
233,1
234,2
235,1
236,0
237,0
238,0
239,0
240,1
241,2
242,3
243,3
244,1
245,3
246,3
247,1
248,0
249,2
250,2
251,2
252,1
253,3
254,1
255,3
256,2
257,0
258,2
259,2
260,3
261,1
262,0
263,0
264,1
265,3
266,1
267,3
268,2
269,2
270,2
271,3
272,2
273,3
274,2
275,1
276,0
277,0
278,0
279,1
280,3
281,0
282,3
283,1
284,2
285,0
286,3
287,2
288,2
289,2
290,0
291,0
292,1
293,0
294,0
295,2
296,0
297,2
298,3
299,1
300,3
301,2
302,1
303,1
304,3
305,2
306,3
307,0
308,1
309,1
310,3
311,0
312,2
313,0
314,0
315,1
316,2
317,0
318,3
319,3
320,0
321,1
322,2
323,3
324,2
325,0
326,0
327,3
328,0
329,0
330,0
331,0
332,1
333,2
334,2
335,3
336,0
337,0
338,2
339,0
340,1
341,3
342,0
343,0
344,3
345,2
346,3
347,2
348,3
349,2
350,0
351,1
352,1
353,3
354,3
355,1
356,2
357,0
358,2
359,1
360,2
361,1
362,1
363,1
364,0
365,1
366,3
367,1
368,0
369,2
370,1
371,1
372,0
373,1
374,0
375,1
376,0
377,3
378,0
379,1
380,0
381,3
382,3
383,0
384,0
385,1
386,3
387,1
388,1
389,2
390,1
391,3
392,1
393,1
394,1
395,3
396,1
397,3
398,1
399,1
400,2
401,1
402,3
403,3
404,3
405,0
406,3
407,3
408,1
409,2
410,0
411,0
412,0
413,2
414,0
415,0
416,1
417,3
418,0
419,0
420,2
421,1
422,2
423,1
424,3
425,0
426,3
427,3
428,2
429,1
430,3
431,3
432,1
433,3
434,2
435,3
436,1
437,0
438,0
439,0
440,3
441,3
442,3
443,0
444,0
445,2
446,3
447,0
448,1
449,2
450,3
451,0
452,1
453,2
454,1
455,1
456,0
457,2
458,2
459,2
460,3
461,0
462,3
463,1
464,2
465,2
466,0
467,3
468,2
469,1
470,1
471,3
472,0
473,2
474,3
475,1
476,1
477,2
478,0
479,0
480,0
481,2
482,2
483,1
484,1
485,0
486,3
487,2
488,1
489,0
490,0
491,3
492,3
493,2
494,1
495,3
496,3
497,3
498,0
499,0
500,3
501,1
502,2
503,0
504,1
505,3
506,0
507,3
508,3
509,3
510,2
511,1
512,2
513,0
514,1
515,1
516,2
517,2
518,3
519,3
520,0
521,3
522,1
523,0
524,2
525,1
526,0
527,1
528,1
529,0
530,0
531,3
532,0
533,2
534,0
535,3
536,0
537,1
538,2
539,0
540,3
541,1
542,2
543,3
544,3
545,2
546,2
547,1
548,2
549,2
550,2
551,3
552,1
553,1
554,1
555,3
556,1
557,0
558,3
559,1
560,1
561,2
562,1
563,1
564,0
565,1
566,2
567,1
568,2
569,1
570,3
571,2
572,0
573,2
574,2
575,3
576,3
577,2
578,0
579,0
580,0
581,2
582,1
583,1
584,3
585,1
586,1
587,0
588,3
589,1
590,0
591,3
592,0
593,1
594,0
595,3
596,3
597,3
598,3
599,1
600,1
601,1
602,0
603,2
604,0
605,1
606,1
607,1
608,0
609,2
610,1
611,2
612,0
613,1
614,1
615,0
616,3
617,1
618,3
619,3
620,2
621,0
622,0
623,0
624,2
625,3
626,2
627,0
628,3
629,3
630,1
631,1
632,2
633,3
634,0
635,0
636,0
637,1
638,2
639,3
640,3
641,1
642,0
643,2
644,1
645,3
646,2
647,0
648,0
649,2
650,0
651,1
652,1
653,3
654,3
655,2
656,1
657,2
658,1
659,0
660,0
661,0
662,2
663,0
664,3
665,0
666,1
667,1
668,0
669,3
670,3
671,1
672,0
673,2
674,2
675,0
676,3
677,2
678,2
679,0
680,1
681,2
682,1
683,3
684,0
685,1
686,0
687,3
688,2
689,1
690,1
691,0
692,0
693,3
694,2
695,3
696,1
697,2
698,2
699,0
700,1
701,3
702,2
703,2
704,1
705,2
706,0
707,1
708,0
709,2
710,2
711,1
712,0
713,3
714,1
715,2
716,0
717,0
718,2
719,2
720,0
721,0
722,0
723,3
724,0
725,0
726,2
727,1
728,1
729,0
730,0
731,3
732,2
733,2
734,0
735,0
736,2
737,0
738,3
739,0
740,3
741,1
742,3
743,2
744,3
745,2
746,2
747,2
748,2
749,0
750,2
751,2
752,0
753,1
754,1
755,0
756,2
757,2
758,0
759,1
760,1
761,1
762,2
763,1
764,3
765,0
766,0
767,2
768,0
769,2
770,3
771,2
772,2
773,1
774,3
775,0
776,0
777,2
778,1
779,3
780,0
781,3
782,1
783,2
784,0
785,3
786,0
787,2
788,3
789,0
790,0
791,3
792,0
793,2
794,2
795,0
796,2
797,2
798,2
799,1
800,3
801,3
802,2
803,1
804,3
805,1
806,2
807,3
808,3
809,3
810,2
811,1
812,0
813,2
814,0
815,0
816,1
817,3
818,2
819,2
820,0
821,2
822,3
823,2
824,0
825,3
826,3
827,1
828,0
829,2
830,3
831,2
832,1
833,0
834,0
835,3
836,3
837,3
838,3
839,1
840,2
841,3
842,0
843,2
844,2
845,3
846,0
847,1
848,3
849,2
850,1
851,0
852,1
853,2
854,0
855,3
856,1
857,1
858,1
859,0
860,2
861,2
862,0
863,1
864,1
865,1
866,3
867,2
868,2
869,3
870,3
871,2
872,3
873,0
874,0
875,1
876,2
877,0
878,0
879,1
880,0
881,2
882,0
883,2
884,0
885,0
886,3
887,1
888,2
889,2
890,0
891,1
892,0
893,3
894,1
895,0
896,1
897,1
898,1
899,3
900,0
901,2
902,0
903,2
904,1
905,1
906,2
907,2
908,2
909,0
910,2
911,2
912,3
913,3
914,0
915,1
916,2
917,0
918,2
919,0
920,1
921,2
922,0
923,3
924,1
925,0
926,3
927,0
928,2
929,0
930,3
931,2
932,3
933,2
934,1
935,3
936,3
937,1
938,3
939,0
940,2
941,3
942,1
943,3
944,1
945,0
946,0
947,3
948,2
949,0
950,1
951,1
952,3
953,3
954,1
955,0
956,1
957,1
958,2
959,0
960,3
961,1
962,2
963,3
964,2
965,0
966,1
967,1
968,2
969,1
970,1
971,1
972,0
973,0
974,1
975,0
976,0
977,0
978,0
979,1
980,2
981,3
982,1
983,1
984,1
985,2
986,3
987,3
988,0
989,2
990,2
991,2
992,3
993,0
994,0
995,0
996,1
997,2
998,0
999,3
1000,1
1001,2
1002,1
1003,0
1004,2
1005,2
1006,2
1007,1
1008,2
1009,1
1010,2
1011,0
1012,0
1013,1
1014,3
1015,1
1016,3
1017,0
1018,0
1019,3
1020,0
1021,3
1022,1
1023,2
1024,3
1025,3
1026,1
1027,3
1028,2
1029,2
1030,0
1031,0
1032,1
1033,3
1034,0
1035,2
1036,2
1037,1
1038,1
1039,1
1040,1
1041,3
1042,0
1043,2
1044,1
1045,0
1046,3
1047,0
1048,0
1049,1
1050,0
1051,1
1052,2
1053,2
1054,1
1055,1
1056,2
1057,0
1058,1
1059,3
1060,0
1061,0
1062,2
1063,3
1064,0
1065,3
1066,2
1067,2
1068,0
1069,1
1070,1
1071,2
1072,3
1073,0
1074,2
1075,3
1076,2
1077,2
1078,1
1079,0
1080,3
1081,3
1082,3
1083,3
1084,2
1085,0
1086,2
1087,3
1088,0
1089,2
1090,0
1091,3
1092,2
1093,0
1094,3
1095,2
1096,1
1097,0
1098,3
1099,0
1100,3
1101,0
1102,2
1103,0
1104,2
1105,0
1106,1
1107,0
1108,2
1109,1
1110,3
1111,2
1112,2
1113,3
1114,1
1115,1
1116,3
1117,3
1118,3
1119,1
1120,0
1121,1
1122,3
1123,2
1124,2
1125,2
1126,3
1127,2
1128,1
1129,0
1130,2
1131,0
1132,2
1133,3
1134,2
1135,3
1136,2
1137,0
1138,3
1139,0
1140,0
1141,2
1142,0
1143,1
1144,2
1145,2
1146,2
1147,1
1148,1
1149,0
1150,2
1151,3
1152,2
1153,3
1154,0
1155,1
1156,1
1157,2
1158,1
1159,2
1160,0
1161,2
1162,3
1163,0
1164,2
1165,0
1166,3
1167,2
1168,2
1169,2
1170,1
1171,3
1172,3
1173,3
1174,1
1175,1
1176,2
1177,2
1178,1
1179,3
1180,0
1181,2
1182,2
1183,2
1184,1
1185,1
1186,0
1187,1
1188,0
1189,2
1190,0
1191,3
1192,0
1193,0
1194,1
1195,2
1196,1
1197,0
1198,0
1199,2
1200,2
1201,0
1202,1
1203,2
1204,0
1205,3
1206,0
1207,3
1208,3
1209,0
1210,1
1211,1
1212,2
1213,0
1214,2
1215,0
1216,2
1217,1
1218,1
1219,2
1220,0
1221,0
1222,3
1223,0
1224,0
1225,0
1226,2
1227,1
1228,3
1229,0
1230,3
